link,date,text,ad
kunonline/12123,2023-05-03 11:02:54+00:00,"**🔺AQSH dollarining rasmiy kursi oshdi **Markaziy bank 4-maydan xorijiy valutalarning o'zbek so'miga nisbatan yangi qiymatini belgiladi. 🇺🇸 USD 11 459,46 so'm (+21,45) 🇷🇺 RUB 144,58 so'm (+1,08) 🇪🇺 EUR 12 652,39 so'm (+124,34) 👉",0.0
kunonline/12124,2023-05-03 11:23:47+00:00,"**Rossiyadagi pabliklarda Kreml ichidagi binodan tutun chiqayotgani tasvirlangan video tarqalmoqda **Guvohlarning yozishicha, bu tutun chiqishidan avval portlash ovozi eshitilgan, Kreml devorlarida chiroq ko'targan odamlar paydo bo'lgan. Shuningdek, Kremldagi ba'zi chiroqlar o'chirilgan. 👉",0.0
kunonline/12125,2023-05-03 11:38:59+00:00,**‼️ Ukraina tunda Kremlga zarba berishga urindi** - Rossiya prezidenti matbuot xizmati Kreml ikki dron tomonidan nishonga olingan. 👉,0.0
kunonline/12126,2023-05-03 11:43:58+00:00,⚡️Kreml: dron hujumidan maqsad Putinga suiqasd bo'lgan. 👉,0.0
kunonline/12127,2023-05-03 12:07:41+00:00,Kreml hujumni rejalashtirilgan terrorchilik harakati deb atadi 👉,0.0
kunonline/12128,2023-05-03 12:12:47+00:00,Kremldagi portlash videosi 👉,0.0
kunonline/12129,2023-05-03 12:45:18+00:00,"**Zelenskiy ma'muriyati Kremlga tunda amalga oshirilgan dron hujumiga Ukrainaning aloqasi yo'qligini ma'lum qildi **«Prezident Zelenskiy aytganidek, Ukrainaning barcha kuchi o'z hududlarini ozod qilishga ishlatiladi, boshqalarga hujum qilishga emas», deyiladi bayonotda. 👉",0.0
kunonline/12131,2023-05-03 12:55:01+00:00,**Prigojin:** «Ukrainaning qarshi hujumi amalda boshlanib bo'ldi. Ular favqulodda faollashib qolishdi». 👉,0.0
kunonline/12132,2023-05-03 13:08:37+00:00,Krasnodar o'lkasidagi neft bazaga dronlar hujumi aks etgan video paydo bo'ldi 👉,0.0
kunonline/12133,2023-05-03 13:09:39+00:00,**Shavkat Mirziyoyev va Ziroat Mirziyoyeva – Berlindagi Belvyu saroyida **O'zbekiston prezidenti va birinchi xonimini saroyda GFR prezidenti Frank-Valter Shtaynmayer va uning rafiqasi kutib oldi. Tashrifni Kun.uz muxbiri yoritib bormoqda. 👉,0.0
kunonline/12134,2023-05-03 13:25:10+00:00,Kremlga zarba berilishi aks etgan yana bir video 👉,0.0
kunonline/12135,2023-05-03 13:36:00+00:00,"**Kreml:** «Dronlar hujumi vaqtida prezident Putin jarohatlanmadi, uning ish rejimi odatiy tarzda davom etmoqda» 👉",0.0
kunonline/12136,2023-05-03 13:39:31+00:00,Kremlga tungi hujumdan keyin Senat saroyining ko'rinishi 👉,0.0
kunonline/12137,2023-05-03 13:40:01+00:00,**Kremlga hujumning navbatdagi videosi **Unda dron portlashi natijasida Rossiya bayrog'i o'rnatilgan gumbaz yongani ko'rinadi. 👉,0.0
kunonline/12138,2023-05-03 14:02:23+00:00,Rossiyaliklar Kreml oldidan videolar e'lon qilishmoqda. Prezident qarorgohi oldidagi yo'llar yopilmagan. 👉,0.0
kunonline/12139,2023-05-03 14:14:06+00:00,Moskva yaqinidagi Kolomna shahrida dron qulagan. 👉,0.0
kunonline/12140,2023-05-03 14:50:46+00:00,"«Gulagu.net» manbasining ma'lum qilishicha, bugun tunda Rossiya Kiyevga qarshi yadro quroli ishlatishi mumkin. 👉",0.0
kunonline/12141,2023-05-03 15:59:51+00:00,"**Zelenskiy Kremlga hujumga Ukrananing aloqasi yo'qligini aytdi **«Bizga shundog'am qurol yetishmayapti va o'z hududimizdan boshqa hech qayerda qurol ishlatmaymiz», dedi Ukraina prezidenti. 👉",0.0
kunonline/12142,2023-05-03 17:43:30+00:00,"**«Kremlga hujum rossiyalik oligarxlar buyurtmasi bilan qilingan» **Ukrainadagi «Sluga naroda» partiyasi raisi David Araxamiya o'z insaydlariga tayanib, Kremlga hujum Putin sabab sanksiyalar ostida qolib ketgan rossiyalik oligarxlar buyurtmasi bilan sodir etilganini taxmin qildi. «Bu «arazlaganlar guruhi»ning birinchi kollektiv o'yini bo'ldi va oxirgisi bo'lmaganiga umid qilaman», deb yozgan Araxamiya. 👉",0.0
Qoraxabar/57897,2023-05-03 02:11:26+00:00,"⚡️**Egizagingizni 145 dollarga xarid qilishingiz mumkin **😅 Xitoyning Tencent Cloud kompaniyasi odamlarning nusxasini yaratish uchun raqamli platforma - Deepfakes-as-a-Service (DFaaS) ishga tushirilishini e'lon qildi. U bor-yo'g'i uch daqiqalik jonli video va 100 ta og'zaki iboralar yordamida odamlarning yuqori aniqlikdagi raqamli nusxalarini yaratishga va'da bermoqda. Deepfake yaratish uchun atigi 24 soat vaqt ketadi. Xizmat narxi esa 145 dollar. Mijoz esa xarakterning fonini sozlashi, teri rangi va boshqa jihatlarini tanlashi mumkin. 👉",0.0
Qoraxabar/57899,2023-05-03 02:12:45+00:00,**Ayollarimiz uchun ajoyib maxsulotlar to'plami**🤩 Endi siz ayollarimiz uchun eng kerakli bo'lgan ikkita maxsulotimizni yani **soch quritivchi fen** va **sochlarni tekislovchi elektron qurilmasini** super chegirma narxida 197.000 so'm evaziga xarid qilishingiz mumkin. 💰**Narxi  197.000 so'm Buyurtma Berish👇: ****https://100k.uz/oqim/239296**** 📌Zakaz bermoqchi bo'lsangiz saytga kirib telefon nomeringizni yozing! Mutaxasis qo'ng'iroq qiladi. YETKAZIB BERISH BEPUL! To'lovni mahsulotni qabul qilib olganda qilasiz**.,1.0
Qoraxabar/57900,2023-05-03 02:12:48+00:00,"**☀️Bugun Xalqaro Quyosh kuni **Quyosh haqida bir nechta faktlar: ➖Quyosh nuri bir deganda 300 ming km masofani bosib o'tadi va bizga 8 minutda yetib keladi. ➖Quyosh diametriga ko'ra Yer sayyoramizdan 109 marta katta. ➖Quyosh taxminan 4,5 milliard yoshda va yana 5 milliard yil yashashi mumkin. ➖Quyosh yuzasidagi issiqlik +6000°, yadrosida esa +15 million darajaga yetadi. 👉",0.0
Qoraxabar/57901,2023-05-03 02:49:32+00:00,**⚡️Hokimlar o'rinbosarlari soni keskin kamayishi mumkin. Prezident qarori loyihasida 2023-yil 1-dekabrdan boshlab viloyatlar va Toshkent shahar hokimlari o'rinbosarlarining cheklangan soni 3 nafar etib belgilanmoqda. Hozirda hokimlarning 10 ga yaqin o'rinbosarlari bor.** 👉,0.0
Qoraxabar/57902,2023-05-03 02:50:41+00:00,**#TEZKOR**** ****#DAXSHAT**** Har kecha siz 1 kg yog' yoqotasiz! Agar siz har kecha shu preparatdan ichsangiz yog' erishi kerak bo'lgan joylardan eriydi... Bu usulni ko'rgan shifokorlar lol qolishdi. Darhol shu link orqali kirib yozib oling 👇👇👇👇👇👇👇👇👇👇👇 ****https://exuz.uz/safiatrioaktiv6**** Adminlar o'chirib tashlamasidan yozib oling**,1.0
Qoraxabar/57903,2023-05-03 02:50:43+00:00,⚡️**Meksika orqali Amerikaga ketmoqchi bo'lganlar diqqatiga! Endi Meksikadan Amerikaga borib boshpana so'rash qoidasi o'zgardi. AQSH prezidenti yangi qonun chiqardi. ** 👉,0.0
Qoraxabar/57904,2023-05-03 02:55:19+00:00,**⚡️3 may  -  Jahon matbuoti erkinligi kuni** 👉,0.0
Qoraxabar/57905,2023-05-03 03:12:42+00:00,**Moshina ishqibozlari uchun ajoyib yangi maxsulotlarimiz keldi ** [**Led Logo](https://100k.uz/oqim/239298)**** maxsulotimiz qulaylikari** ✅Moshina eshiklariga urnatiladi.maxsus sensor qurilmasiga ega eshikni  ochganingizda Chevrolet logosini  tasvrini kursatib turadi ✅Maxsulot xamma moshinaga tushadi **YUlduzli osmon Nomi Bilan mashxur bolgan** [**Rolls Royce Salon atmosferasini](https://100k.uz/oqim/239298)**** yendilikda uzingizning avtomobilingizda urnatish vakti keldi Kulayliklari ** ✅ Funiy kizil va binafsha nurli led atmasfera dekoratsiasini uzidan tarkatib turadi ✅Universal xamma moshinaga tushadi kup tok talab kilmaydi 💰**2ta maxsulot Narxi 137.000.sum Buyurtma Berish**👇 **https://100k.uz/oqim/239298**** 📌Zakaz bermoqchi bo'lsangiz saytga kirib telefon nomeringizni yozing! Mutaxasis qo'ng'iroq qiladi. YETKAZIB BERISH BEPUL! To'lovni mahsulotni qabul qilib olganda qilasiz**.,1.0
Qoraxabar/57907,2023-05-03 03:12:45+00:00,⚡️**SHahar binolarini ko'rib Amerika bizdan 100 yil oldinda ekanligini guvoxi bo'ling 1911-yilda Nyu-York manzaralari aks etgan rangli va ovozli video. **👉,0.0
Qoraxabar/57908,2023-05-03 03:21:03+00:00,"❗️**Hozirgi kunda O'zbekiston hududida:** ➖mehnatga haq to'lashning eng kam miqdori – **980 000 so'm; **➖bazaviy hisoblash miqdori – **330 000 so'm; **➖pensiyani hisoblashning bazaviy miqdori – 3**47 000 so'm; **➖yoshga doir eng kam pensiya – **677 000 so'm; **➖nogironlik pensiyalari, jumladan ish staji to'liq bo'lmagan chog'dagi nogironlik pensiyasining eng kam miqdori – **747 000 so'm; **➖mehnatga layoqatsiz fuqarolarga beriladigan nogironlik nafaqasi va bolalikdan nogironligi bo'lgan shaxslarga beriladigan nafaqa – **747 000 so'm; **➖belgilangan yoshga doir eng kam pensiya miqdoridan __(677 000 so'mdan) __747 000 so'mgacha pensiya oluvchilarning yoshga doir pensiyalari – **747 000 so'm; **➖zarur ish stajiga ega bo'lmagan keksa yoshdagi fuqarolarga beriladigan nafaqa – **535 000 so'm; **➖ish staji to'liq bo'lmagan chog'dagi yoshga doir pensiyaning eng kam miqdori qo'shimcha to'lovni hisobga olgan holda – **535 000 so'm**. 👉",0.0
Qoraxabar/57909,2023-05-03 03:43:36+00:00,"**Dunyoda mashxur bulgan Samsung va Apple kompaniyasining Galaxy S22 va iPhone 14 pro ko'rinishidagi telefonining knopkali varianti keldi! Bizda yana arzon narxda NOKIA 3310 va SAMSUNG GUSTO telefonlari ham bor.** ✅ Telefonlarning barchasiga 2 ta sim-karta tushadi, kameralari 2 MP, quloqchin va zaryadkalari bor, batareykasi 36H/2000mAh, Bluetooth, fonar, ovoz zapis bor 1⃣ **IPHONE 14 PRO ( 377 ming sum) **👉 **https://100k.uz/oqim/202872**** 2⃣ SAMSUNG S22 ( 398 ming sum) **👉 **https://100k.uz/oqim/203179**** 3⃣ NOKIA 3310 ( 297 ming sum) **👉 **https://100k.uz/oqim/77664**** 4⃣ SAMSUNG GUSTO ( 347 ming sum ) **👉 **https://100k.uz/oqim/133489** ✅ **Telefonlarimiz tog'li hududlarda aloqa sifatini umuman tushirmaydi. Ikkinchi telefon sifatida ishlatmoqchi bo'lganlar ko'pchilikni tashkil qilsa kerak. Agar zakaz bermoqchi bo'lsangiz saytga kirib telefon nomeringizni yozing! Mutaxasis qo'ng'iroq qiladi. ****@HAMMA_MAHSULOTLARIMIZ**** YETKAZIB BERISH BEPUL! To'lovni mahsulotni qabul qilib olganda qilasiz. ****@MALUMOTLAR_KERAKMI**",1.0
Qoraxabar/57913,2023-05-03 03:43:38+00:00,"⚡️**Konstitutsiya darajasidagi jazo: Jurnalistlar faoliyatiga aralashganlik uchun javobgarlik belgilanadi **O'zbekistonning yangilangan konstitutsiyasida faqat 2 ta kasb egalarining faoliyatiga aralashish javobgarlikka sabab bo'lishi belgilangan: birinchisi – ommaviy axborot vositalari xodimlari, ikkinchisi – sudyalar. Asosiy qonunning yangi tahririda **“Har kim fikrlash, so'z va e'tiqod erkinligi huquqiga ega. Har kim istalgan axborotni izlash, olish va tarqatish huquqiga ega” **degan qoida saqlab qolindi. 👉",0.0
Qoraxabar/57914,2023-05-03 03:46:03+00:00,❗☀️**Bugun 3-may quyosh xavfli darajada nur sochib magnit bo'ronlari bo'ladi Iloji boricha tush payti ko'chaga chiqmang!!!** 👉,0.0
Qoraxabar/57915,2023-05-03 04:10:29+00:00,🖥**SAMSUNG (xitoy)tv **🎁**YANGI MEGA CHEGIRMA AKSIYA** sotiladi 🖥 SAMSUNG ✅ 32 lik ✅ Soʻnggi madel bez ramka ✅ Kafolat 3 yil 💰 Narxi 1.200000 soʻm 🖥 SAMSUNG ✅ 33+ 35 ✅ Wi Fi Smart Youtube ✅ Soʻngi model bez ramka ✅ Kafolat 3 yil 💰 Narxi 1.350000 soʻm 🖥 SAMSUNG ✅ 33+35 smart android ✅ Soʻngi madel bez ramka ✅ Ekran zashita  ✅ Kafolat 3 yil 💰 Narxi 1.500000 soʻm 🖥 SAMSUNG PRO MAX 11 ✅ 45 li smart android ✅ Soʻngi madel bez ramka ✅ 2 ta pult 🎙 Galasavoy ✅ Kafolat 2 yil 💰 Narxi 2.450000 soʻm 🖥SAMSUNG PRO 11MAX ✅ 55 smart android ✅ So'nggi madel Bez ramka ✅ Galasavoy🎙 2 pult Bluetoth ✅ Kafolat 3yil 💰 Narxi 3.900000 som 🖥 SAMSUNG smart android ✅ 65 li ✅ Golosovoy🎙 Bluetooth ✅ Soʻngi madel bez ramka ✅ Kafolat 3 yil 💰 Narxi 6.000000 soʻm +998979030101 +998975817373 🚛 O'zbekistan bo'ylab yetkazib berish bepul To'lovni mahsulotni qo'lingizga olganda qilasiz ✍Mahsulotga kafolat muhri bosib beriladi (Yuqori sifatli) ✅Telgram kanalmiz👇 💻 @UZ7KUN,1.0
Qoraxabar/57916,2023-05-03 04:10:31+00:00,"⚡️**Krishtianu Ronaldu jahonning eng katta maosh oluvchi sportchilari ro'yxatida yetakchi bo'lib oldi — Forbes** Ronaldu 2022-yilda 136 mln dollar daromad qilgan. Bu pullarning 46 millionini u futbol maydonida ishlagan. O'tgan yilgi yetakchi Lionel Messining yillik daromadi 130 mln dollarga baholangan. Bu pullarning teng yarmini Adidas, Budweiser, PepsiCo kabi kompaniyalar bilan ishlagan shartnomasi ortidan topgan. Uchinchi o'rinni egallagan 24 yoshli fransuz futbolchisi Kilian Mbappe 120 mln dollar ishlagan va uning 100 millionini futbol ortidan topgan. 👉",0.0
Qoraxabar/57917,2023-05-03 04:34:59+00:00,"**""Men onamni maqtamayman, men onam bilan faxrlanaman""** __Domla Abror Muxtor Aliy o'z onalarini janozasini o'qidilar🤲__ 👉",0.0
Qoraxabar/57918,2023-05-03 04:35:12+00:00,**#Diqqat**** ****#Dolzarb**** ****🟢****Bo'g'im og'riqlaridan 3 kunda batamom halos bo'lish yo'llari ****❗️****Hoziroq ushbu usulni qo'llab ko'ring Ushbu link orqali barchasini bilib oling****👇**** ****➡️****➡️**** ****http://samarali.site/sustavgel/**** ****➡️****➡️**** ****http://samarali.site/sustavgel/** **(**__Adminlar o'chirib tashlamasidan yozib oling)__,1.0
Qoraxabar/57919,2023-05-03 04:35:57+00:00,"**Insonning ishi yurishmasligi, barakaning yo'qligi va rizqi kesilishining asosiy sababi - UYINING TOZA VA OZODA TURMASLIGIDA ekan. ** __Videoni ”uydagilar“ga yuboring!__ 👉",0.0
Qoraxabar/57920,2023-05-03 04:48:17+00:00,"⚡️**Xojiakbar Nosirov (ACTIVIST) sud tomonidan belgilangan ma'muriy qamoq jazosini o'tab, 2023 yil 23 aprel kuni soat 16:00da qo'yib yuborilgan.** 👉",0.0
Qoraxabar/57922,2023-05-03 04:52:29+00:00,**Sizlarga super chegirma narxida ajoyib maxsulotlar to'plamini tavsiya qilamiz 🤩** Endi siz **moshina soyaboni** va **koz qamashishiga qarshi kozaynak** ikkita maxsulotni yani 157.000 so'm evaziga xarid qilishingiz mumkin. 💰 **NARXI: 157.000 SO'M Buyurtma uchun 👇 ****https://100k.uz/oqim/239428**** Agar zakaz bermoqchi bo'lsangiz saytga kirib telefon nomeringizni yozing! Mutaxasis ertaga qo'ng'iroq qiladi ****@HAMMA_MAHSULOTLARIMIZ**** YETKAZIB BERISH XIZMATI BOR! To'lovni mahsulotni qabul qilib olganda qilasiz. ****@MALUMOTLAR_KERAKMI**,1.0
Qoraxabar/57923,2023-05-03 04:52:31+00:00,"⚡️1000 litr benzin to'kilib ketdi **Bishkek-O'sh trassasining “Sosnovka” postida yonilg'i tashuvchi transport YTHga uchradi. Guvohlarning aytishicha, traktor tirkamasi sisternaga ilinib ketgan. Sisternadan benzin to'kilishni boshlagan. Hozircha atrof-muhitga yetkazilgan zarar haqida ma'lumotlar yo'q! 👉",0.0
Qoraxabar/57924,2023-05-03 05:23:13+00:00,**To'ylarga eri bilan boradigan ayollar uchun LAYFXAK 😅** 👉,0.0
Qoraxabar/57925,2023-05-03 05:26:23+00:00,**Imzo romlari** – o'sha hamma biladigan qo'shiq. Aynan qaysi? Imzo kompaniyasining yangi videosini tomosha qiling! **Imzo — katta oila uchun fabrika romlari! **📞 +998712077777 www.imzo.uz [Facebook](https://www.facebook.com/imzogroup) | [Instagram](https://www.instagram.com/imzo.official/) | [Telegram ](https://t.me/IMZO_Official)Reklama,1.0
Qoraxabar/57926,2023-05-03 05:26:26+00:00,"**2009-yillar xam uylanyapti ekan, sen xaliyam yuribsan😅 **YOshi 30 ga borib xam uylanmay yurgan bo'ydoqlarga yuboramiz! 👉",0.0
Qoraxabar/57927,2023-05-03 06:00:36+00:00,"**Uzoq umr ko'rishning siri😅** Gruppalarga tashlab qo'yamiz, gap egasini topadi 👉",0.0
Qoraxabar/57928,2023-05-03 06:02:26+00:00,"**VITEK endi O'zbekistonda juda arzon narxda! Qish va yoz mavsumi uchun konditsioner! Devorga o'rnatiladi, xona havosini tozalab beradi. ● To'rt xil rejimda ishlaydi ✅ ● Pult orqali boshqariladi ✅ ● 25-30 kvadratni isitadi ✅ ● 1-2KV (ekonomniy) ✅ ● Isitishi +40, sovutishi zo'r ✅ 🇩🇪 Germaniya mahsuloti. 📃 Garantiya 3 yil. ⚡️ Xozirda chegirma: ❌ ~~Eski narxi: 679 000 so'm~~ 💸 Aksiya narxi: 349 000 so'm ✅ FAQATGINA 1 KUN CHEGIRMA! BUYURTMA BERISH:👇 📞 ****+998-91-336-78-61**** ****+998-91-336-78-61**** 🚚 YETKAZIB BERISH BOR! To'lov qo'lingizga olganda qilasiz.**",1.0
Qoraxabar/57929,2023-05-03 06:02:28+00:00,"❗️**Meksika orqali Amerikaga bormoqchi bo'lganlar diqqatiga: Endi chegaradan o'tish oson bo'lmaydi!** ⚡️**Bayden ma'muriyati mamlakatdagi muhojirlar oqimidan qo'rqib, yaqin kunlarda AQSH bilan Meksika chegarasida xizmat qilish uchun 1500 nafar amerikalik askarni yuborishni ko'rib chiqadi** – Fox News. 👉",0.0
Qoraxabar/57930,2023-05-03 06:32:42+00:00,"**❗️Sog'liqni saqlash vazirligi aholiga soat 11:00 dan 16:00 oralig'idagi muddatda tashqi muhitda kamroq harakatlanish, tana ochiq yuzalarni yopuvchi yengil kiyimlardan foydalanish, ko'zoynak taqish, soyabon yoki yengil bosh kiyim kiyib olish bo'yicha tavsiyalar bergan. Ko'z sohasi, teri va ultrabinafsha nurlari o'zaro ta'sirga kirganda allergik reaksiyaga kirishishi ma'lum qilingan.** 👉",0.0
Qoraxabar/57932,2023-05-03 06:40:11+00:00,**Internet do'konimizda ajoyib maxsulotlar to'plami🤩 **Endi siz **157.000 so'm evaziga** Farzandlaringiz uchun ikkita maxsulotni yani **LCD yozuv plansheti** va **farzandlaringizga rasm chizishida yordam beruvchi proyektorni** xarid qilishingiz mumkin.** ** ❌ **Eski narxi 277.000 ✅ Aksiya Narxi 157.000 so'm Chegirma narxda xarid qiling! BUYURTMA BERISH👇: **https://100k.uz/oqim/231010 https://100k.uz/oqim/231010 📌**Zakaz bermoqchi bo'lsangiz saytga kirib telefon nomeringizni yozing! Mutaxasis qo'ng'iroq qiladi. YETKAZIB BERISH BEPUL! To'lovni mahsulotni qabul qilib olganda qilasiz**.,1.0
Qoraxabar/57933,2023-05-03 06:40:13+00:00,"⚡️**O'zbekistonlik ko'cha rassomi Inkuzart Orol dengizining qurigan tubida tinchlik ramzini chizdi **Ramz chegaralariga esa saksovul ekildi. **Patsifik** – xalqaro tinchlik, qurolsizlanish, urushga qarshi harakat ramzi. Ramz muallifi – britaniyalik professional rassom va dizayner Jerald Xoltom. 👉",0.0
